move_arv_hr,age_grp,popl_cnt
2019-10-01 00:00:00,0,28.24
2019-10-01 00:00:00,10,45.09
2019-10-01 00:00:00,20,64.52
2019-10-01 00:00:00,30,61.71
2019-10-01 00:00:00,40,92.64
2019-10-01 00:00:00,50,51.96
2019-10-01 00:00:00,60,50.21
2019-10-01 00:00:00,70,28.28
2019-10-01 00:00:00,80,19.58
2019-10-01 01:00:00,0,36.11
2019-10-01 01:00:00,10,61.97
2019-10-01 01:00:00,20,65.59
2019-10-01 01:00:00,30,51.76
2019-10-01 01:00:00,40,49.0
2019-10-01 01:00:00,50,58.41
2019-10-01 01:00:00,60,53.46
2019-10-01 01:00:00,70,42.69
2019-10-01 01:00:00,80,9.56
2019-10-01 02:00:00,10,4.47
2019-10-01 02:00:00,20,13.61
2019-10-01 02:00:00,30,5.41
2019-10-01 02:00:00,40,6.68
2019-10-01 02:00:00,50,13.18
2019-10-01 02:00:00,60,3.85
2019-10-01 02:00:00,70,5.72
2019-10-01 03:00:00,40,6.37
2019-10-01 03:00:00,70,5.68
2019-10-01 04:00:00,10,4.09
2019-10-01 04:00:00,20,2.06
2019-10-01 04:00:00,30,2.73
2019-10-01 04:00:00,40,6.359999999999999
2019-10-01 04:00:00,50,3.3
2019-10-01 04:00:00,60,3.8
2019-10-01 05:00:00,20,4.5
2019-10-01 05:00:00,40,6.449999999999999
2019-10-01 05:00:00,60,12.899999999999999
2019-10-01 05:00:00,70,4.64
2019-10-01 06:00:00,20,4.29
2019-10-01 06:00:00,30,2.66
2019-10-01 06:00:00,50,9.879999999999999
2019-10-01 06:00:00,60,3.51
2019-10-01 07:00:00,30,5.12
2019-10-01 07:00:00,40,12.25
2019-10-01 07:00:00,50,16.53
2019-10-01 07:00:00,60,10.58
2019-10-01 08:00:00,20,9.2
2019-10-01 08:00:00,30,8.530000000000001
2019-10-01 08:00:00,40,15.74
2019-10-01 08:00:00,50,19.41
2019-10-01 08:00:00,60,12.01
2019-10-01 09:00:00,20,9.24
2019-10-01 09:00:00,30,13.16
2019-10-01 09:00:00,40,9.83
2019-10-01 09:00:00,50,22.669999999999998
2019-10-01 09:00:00,60,3.8
2019-10-01 09:00:00,70,4.63
2019-10-01 10:00:00,20,2.17
2019-10-01 10:00:00,30,12.280000000000001
2019-10-01 10:00:00,40,12.81
2019-10-01 10:00:00,50,19.68
2019-10-01 11:00:00,10,4.56
2019-10-01 11:00:00,20,2.2
2019-10-01 11:00:00,30,5.42
2019-10-01 11:00:00,40,12.540000000000001
2019-10-01 11:00:00,50,6.57
2019-10-01 11:00:00,60,10.8
2019-10-01 11:00:00,70,4.65
2019-10-01 11:00:00,80,9.51
2019-10-01 12:00:00,20,6.129999999999999
2019-10-01 12:00:00,30,5.140000000000001
2019-10-01 12:00:00,40,3.17
2019-10-01 12:00:00,50,16.36
2019-10-01 12:00:00,60,7.87
2019-10-01 13:00:00,20,4.91
2019-10-01 13:00:00,30,5.109999999999999
2019-10-01 13:00:00,40,6.5
2019-10-01 13:00:00,50,6.6
2019-10-01 14:00:00,20,2.06
2019-10-01 14:00:00,30,2.73
2019-10-01 14:00:00,60,7.89
2019-10-01 15:00:00,30,5.07
2019-10-01 15:00:00,40,6.0
