,move_st_hr,move_arv_hr,start_place_cd,arv_place_cd,sex_nm,age_grp,popl_cnt
0,2019-09-30 05:00:00,2019-10-01 01:00:00,110107,350124,F,10,4.06
1,2019-09-30 06:00:00,2019-10-01 00:00:00,110987,340217,M,20,2.29
2,2019-09-30 06:00:00,2019-10-01 00:00:00,210353,111424,M,60,3.48
3,2019-09-30 06:00:00,2019-10-01 01:00:00,111476,350476,F,20,2.18
4,2019-09-30 07:00:00,2019-10-01 01:00:00,230489,110189,F,40,3.34
5,2019-09-30 07:00:00,2019-10-01 01:00:00,380327,111361,F,20,2.21
6,2019-09-30 07:00:00,2019-10-01 01:00:00,111037,390432,M,30,2.73
7,2019-09-30 07:00:00,2019-10-01 01:00:00,111037,390308,F,20,2.06
8,2019-09-30 07:00:00,2019-10-01 01:00:00,110546,350080,M,60,3.55
9,2019-09-30 07:00:00,2019-10-01 07:00:00,390179,110948,M,50,3.31
10,2019-09-30 08:00:00,2019-10-01 01:00:00,110752,350132,M,20,2.63
11,2019-09-30 08:00:00,2019-10-01 02:00:00,111415,380575,M,30,2.7
12,2019-09-30 08:00:00,2019-10-01 00:00:00,111711,220254,F,70,8.78
13,2019-09-30 08:00:00,2019-10-01 01:00:00,110952,240030,M,30,2.74
14,2019-09-30 08:00:00,2019-10-01 02:00:00,111289,240120,F,20,2.2
15,2019-09-30 08:00:00,2019-10-01 01:00:00,111130,360195,M,20,2.3
16,2019-09-30 08:00:00,2019-10-01 07:00:00,111191,341352,M,40,3.03
17,2019-09-30 09:00:00,2019-10-01 01:00:00,110806,240476,M,50,3.3
18,2019-09-30 09:00:00,2019-10-01 01:00:00,111037,390084,F,20,2.05
19,2019-09-30 09:00:00,2019-10-01 01:00:00,360267,110047,M,80,9.56
20,2019-09-30 09:00:00,2019-10-01 06:00:00,210008,110034,F,20,2.02
21,2019-09-30 09:00:00,2019-10-01 08:00:00,330109,110488,F,50,3.12
22,2019-09-30 09:00:00,2019-10-01 01:00:00,111601,240060,M,30,2.32
23,2019-09-30 09:00:00,2019-10-01 01:00:00,111037,390400,M,10,4.52
24,2019-09-30 10:00:00,2019-10-01 00:00:00,111037,390098,M,30,2.37
25,2019-09-30 10:00:00,2019-10-01 05:00:00,111371,320979,M,20,2.23
26,2019-09-30 10:00:00,2019-10-01 00:00:00,390375,111179,F,20,2.04
27,2019-09-30 10:00:00,2019-10-01 01:00:00,111037,390392,F,40,3.44
28,2019-09-30 10:00:00,2019-10-01 08:00:00,111269,330025,M,40,3.17
29,2019-09-30 10:00:00,2019-10-01 00:00:00,111688,250410,M,20,2.71
30,2019-09-30 10:00:00,2019-10-01 01:00:00,311960,110180,F,30,2.39
31,2019-09-30 10:00:00,2019-10-01 02:00:00,312147,110250,F,40,3.34
32,2019-09-30 10:00:00,2019-10-01 07:00:00,320499,110029,M,60,3.53
33,2019-09-30 10:00:00,2019-10-01 09:00:00,290100,111539,M,40,3.18
34,2019-09-30 10:00:00,2019-10-01 10:00:00,320144,110070,M,30,2.37
35,2019-09-30 11:00:00,2019-10-01 04:00:00,110082,312102,M,50,3.3
36,2019-09-30 11:00:00,2019-10-01 06:00:00,320589,110267,M,20,2.27
37,2019-09-30 11:00:00,2019-10-01 01:00:00,111037,390442,F,10,4.11
38,2019-09-30 11:00:00,2019-10-01 08:00:00,320362,111724,F,20,2.06
39,2019-09-30 11:00:00,2019-10-01 10:00:00,350511,110839,M,40,3.16
40,2019-09-30 11:00:00,2019-10-01 10:00:00,370662,111806,M,50,3.31
41,2019-09-30 11:00:00,2019-10-01 01:00:00,111037,390049,F,40,3.45
42,2019-09-30 11:00:00,2019-10-01 02:00:00,320076,110137,M,30,2.71
43,2019-09-30 11:00:00,2019-10-01 04:00:00,111573,321067,F,20,2.06
44,2019-09-30 11:00:00,2019-10-01 08:00:00,111737,321006,F,60,3.84
45,2019-09-30 11:00:00,2019-10-01 09:00:00,110474,330247,F,50,3.26
46,2019-09-30 12:00:00,2019-10-01 01:00:00,111037,390151,F,20,2.19
47,2019-09-30 12:00:00,2019-10-01 01:00:00,111671,360436,M,20,2.68
48,2019-09-30 12:00:00,2019-10-01 02:00:00,111471,350506,F,20,2.16
49,2019-09-30 12:00:00,2019-10-01 08:00:00,390179,110797,F,50,3.12
50,2019-09-30 12:00:00,2019-10-01 00:00:00,210689,110084,F,60,3.77
51,2019-09-30 12:00:00,2019-10-01 00:00:00,111202,320439,M,20,2.28
52,2019-09-30 12:00:00,2019-10-01 07:00:00,110454,290100,M,40,3.08
53,2019-09-30 12:00:00,2019-10-01 07:00:00,111601,330868,M,40,2.95
54,2019-09-30 12:00:00,2019-10-01 08:00:00,370683,111667,M,40,3.17
55,2019-09-30 12:00:00,2019-10-01 09:00:00,110152,360047,F,20,2.19
56,2019-09-30 12:00:00,2019-10-01 02:00:00,330258,111440,F,70,5.72
57,2019-09-30 12:00:00,2019-10-01 09:00:00,111207,250367,M,40,3.22
58,2019-09-30 13:00:00,2019-10-01 01:00:00,111523,310712,M,20,2.72
59,2019-09-30 13:00:00,2019-10-01 01:00:00,313006,111401,M,30,2.72
60,2019-09-30 13:00:00,2019-10-01 01:00:00,320110,111336,M,40,3.17
61,2019-09-30 13:00:00,2019-10-01 05:00:00,360446,110260,F,60,9.36
62,2019-09-30 13:00:00,2019-10-01 08:00:00,330876,111246,M,50,3.31
63,2019-09-30 13:00:00,2019-10-01 09:00:00,111184,370296,M,50,3.31
64,2019-09-30 13:00:00,2019-10-01 12:00:00,111143,320133,M,50,3.29
65,2019-09-30 13:00:00,2019-10-01 00:00:00,111365,340140,F,20,2.19
66,2019-09-30 13:00:00,2019-10-01 02:00:00,230027,111525,F,20,2.01
67,2019-09-30 13:00:00,2019-10-01 06:00:00,320650,111649,M,50,3.3
68,2019-09-30 13:00:00,2019-10-01 07:00:00,330470,110894,M,30,2.72
69,2019-09-30 13:00:00,2019-10-01 08:00:00,320107,111510,M,20,2.26
70,2019-09-30 13:00:00,2019-10-01 08:00:00,380861,111602,M,50,3.27
71,2019-09-30 13:00:00,2019-10-01 11:00:00,111297,313120,F,60,3.75
72,2019-09-30 13:00:00,2019-10-01 11:00:00,111621,340116,F,20,2.2
73,2019-09-30 13:00:00,2019-10-01 12:00:00,111571,330831,M,30,2.72
74,2019-09-30 13:00:00,2019-10-01 12:00:00,370511,111563,F,20,2.05
75,2019-09-30 13:00:00,2019-10-01 00:00:00,340452,111536,F,30,3.01
76,2019-09-30 13:00:00,2019-10-01 01:00:00,250321,110613,M,30,2.73
77,2019-09-30 13:00:00,2019-10-01 01:00:00,111460,360901,F,10,4.09
78,2019-09-30 13:00:00,2019-10-01 01:00:00,312439,110077,M,30,2.64
79,2019-09-30 13:00:00,2019-10-01 02:00:00,110087,311525,M,50,3.3
80,2019-09-30 13:00:00,2019-10-01 06:00:00,312076,111320,M,50,3.28
81,2019-09-30 13:00:00,2019-10-01 08:00:00,111050,380046,M,40,3.0
82,2019-09-30 13:00:00,2019-10-01 08:00:00,220220,111141,M,30,2.72
83,2019-09-30 13:00:00,2019-10-01 09:00:00,330710,110508,M,50,3.3
84,2019-09-30 13:00:00,2019-10-01 09:00:00,340756,110284,M,20,2.71
85,2019-09-30 13:00:00,2019-10-01 09:00:00,320498,111457,F,60,3.8
86,2019-09-30 13:00:00,2019-10-01 11:00:00,371097,111359,M,60,3.54
87,2019-09-30 13:00:00,2019-10-01 13:00:00,111621,371195,M,40,3.17
88,2019-09-30 14:00:00,2019-10-01 00:00:00,111387,312556,M,40,3.01
89,2019-09-30 14:00:00,2019-10-01 00:00:00,230027,110982,M,30,2.37
90,2019-09-30 14:00:00,2019-10-01 01:00:00,111601,240471,M,50,3.29
91,2019-09-30 14:00:00,2019-10-01 07:00:00,311829,111214,M,50,3.3
92,2019-09-30 14:00:00,2019-10-01 09:00:00,111595,320586,F,30,3.03
93,2019-09-30 14:00:00,2019-10-01 09:00:00,330769,110026,F,50,3.11
94,2019-09-30 14:00:00,2019-10-01 12:00:00,380364,110047,M,50,3.32
95,2019-09-30 14:00:00,2019-10-01 12:00:00,321057,110181,F,50,3.22
96,2019-09-30 14:00:00,2019-10-01 12:00:00,350543,111804,F,60,3.8
97,2019-09-30 14:00:00,2019-10-01 12:00:00,340601,110042,M,50,3.3
