move_st_hr,age_grp,popl_cnt
2019-09-30 05:00:00,10,4.06
2019-09-30 06:00:00,20,4.470000000000001
2019-09-30 06:00:00,60,3.48
2019-09-30 07:00:00,20,4.27
2019-09-30 07:00:00,30,2.73
2019-09-30 07:00:00,40,3.34
2019-09-30 07:00:00,50,3.31
2019-09-30 07:00:00,60,3.55
2019-09-30 08:00:00,20,7.13
2019-09-30 08:00:00,30,5.44
2019-09-30 08:00:00,40,3.03
2019-09-30 08:00:00,70,8.78
2019-09-30 09:00:00,10,4.52
2019-09-30 09:00:00,20,4.07
2019-09-30 09:00:00,30,2.32
2019-09-30 09:00:00,50,6.42
2019-09-30 09:00:00,80,9.56
2019-09-30 10:00:00,20,6.98
2019-09-30 10:00:00,30,7.130000000000001
2019-09-30 10:00:00,40,13.129999999999999
2019-09-30 10:00:00,60,3.53
2019-09-30 11:00:00,10,4.11
2019-09-30 11:00:00,20,6.390000000000001
2019-09-30 11:00:00,30,2.71
2019-09-30 11:00:00,40,6.61
2019-09-30 11:00:00,50,9.87
2019-09-30 11:00:00,60,3.84
2019-09-30 12:00:00,20,11.5
2019-09-30 12:00:00,40,12.42
2019-09-30 12:00:00,50,3.12
2019-09-30 12:00:00,60,3.77
2019-09-30 12:00:00,70,5.72
2019-09-30 13:00:00,10,4.09
2019-09-30 13:00:00,20,16.14
2019-09-30 13:00:00,30,19.26
2019-09-30 13:00:00,40,9.34
2019-09-30 13:00:00,50,26.36
2019-09-30 13:00:00,60,20.45
2019-09-30 14:00:00,0,28.24
2019-09-30 14:00:00,10,4.47
2019-09-30 14:00:00,20,18.11
2019-09-30 14:00:00,30,21.05
2019-09-30 14:00:00,40,28.16
2019-09-30 14:00:00,50,39.21
2019-09-30 14:00:00,60,31.32
2019-09-30 14:00:00,70,10.32
2019-09-30 14:00:00,80,19.58
2019-09-30 15:00:00,0,36.11
2019-09-30 15:00:00,10,34.29
2019-09-30 15:00:00,20,50.61
2019-09-30 15:00:00,30,58.84
2019-09-30 15:00:00,40,82.89
2019-09-30 15:00:00,50,55.35
2019-09-30 15:00:00,60,50.6
2019-09-30 15:00:00,70,25.57
2019-09-30 15:00:00,80,9.51
2019-09-30 16:00:00,10,64.64
2019-09-30 16:00:00,20,60.81
2019-09-30 16:00:00,30,67.35
2019-09-30 16:00:00,40,87.42
2019-09-30 16:00:00,50,100.91
2019-09-30 16:00:00,60,60.14
2019-09-30 16:00:00,70,45.900000000000006
